PALABRA,FRECUENC,RHO,PHI,LENGTH
bambú,17,21,22.38905596273553,5
mambí,0,22,23.639648724736336,5
mamón,5,22,27.894449346611204,5
mbayá,0,21,20.70963365807687,5
memez,4,23,25.9468284981962,5
mismo,2138,21,28.244524079643202,5
mudez,2,21,20.66689476748723,5
muftí,0,21,12.642067793964932,5
mutuo,19,21,24.12970532975575,5
numen,1,21,27.92050086138073,5
nútum,0,22,17.606502073916673,5
pómez,0,21,15.70570192024875,5
pumba,4,21,26.069642782109693,5
tótum,0,21,16.798184797680577,5
tumba,61,21,29.00097843246715,5
tumbo,2,21,22.793994945766027,5
yumba,0,22,23.875072782169717,5
yumbo,0,22,17.668089295468597,5
zombi,20,21,23.57614065416914,5
zompo,0,21,25.084607396469238,5
zumba,0,22,24.49958881825767,5
zumbo,0,22,18.292605331556548,5
zuzón,0,21,10.799613429135679,5
bebdez,0,22,27.586273132724664,6
belhez,0,21,27.339203928136232,6
bembón,0,24,22.32998985551614,6
benjuí,0,21,21.208454136728434,6
berbén,0,21,28.50047721092723,6
beudez,0,22,28.921983516714384,6
bezudo,0,22,28.858595499210647,6
bigudí,1,21,19.34991266139634,6
binguí,0,22,21.293811864844262,6
bínuba,0,22,28.558702946702443,6
bínubo,0,22,22.35171946000132,6
bispón,0,21,22.900722119176677,6
bombín,1,24,22.2666018380124,6
bombón,7,24,22.2666018380124,6
boquín,0,21,20.915764768027465,6
bribón,4,21,27.44377014640471,6
bright,0,22,27.558180715876418,6
bruzos,0,22,28.65570582197331,6
buchín,0,21,17.66724892402442,6
buchón,0,21,17.66724892402442,6
budión,0,21,23.669301831409484,6
bufido,3,21,28.14716104518197,6
buhedo,0,21,29.071089421524313,6
búnker,0,23,26.681433193471513,6
burgés,0,21,20.203730048681518,6
burujo,0,21,27.476784738854573,6
butrón,2,22,25.60671816943089,6
champú,4,23,27.66202661576417,6
chapuz,0,22,28.521966709285504,6
chozpo,0,21,28.591837592215757,6
chumbe,0,23,24.168722575378318,6
chumbo,0,23,24.105334557874578,6
chungo,2,21,27.044953869610367,6
chupín,0,21,18.182396619305734,6
chupón,0,21,18.182396619305734,6
chuzón,0,22,16.61234265545371,6
combés,1,21,24.14519217494132,6
compás,30,21,24.660339870222636,6
compón,0,22,26.552256097194956,6
coyuyo,0,22,27.950874286434605,6
cúmulo,21,21,26.02426272412406,6
curiyú,0,21,26.615764167762148,6
cuyují,0,21,12.704495386961037,6
cuzcuz,0,22,19.08099379925927,6
desmán,1,22,27.003775668845634,6
deutón,0,21,28.172492241570772,6
dídimo,0,21,29.252849759593744,6
dizque,0,21,26.429321760218016,6
dolmán,0,21,27.48374781653491,6
dongón,0,21,27.517122568175132,6
dulzón,10,21,18.901394416332018,6
fámula,1,22,27.751105988847073,6
fámulo,5,22,21.544122502145946,6
faquín,0,21,26.413114596651724,6
feísmo,0,22,27.341004724088044,6
festín,10,21,26.179131175979784,6
festón,2,21,26.179131175979784,6
firmán,0,23,27.984729250328648,6
firmón,0,23,27.984729250328648,6
fisgón,1,21,21.611352217680214,6
flámeo,0,21,27.884364889281063,6
flemón,1,22,24.52660075753483,6
fómite,0,23,27.43128462780549,6
fondón,1,21,26.87207745823654,6
formón,1,23,28.978048297347428,6
fregón,0,21,27.726255004712087,6
frufrú,2,22,23.907247003175403,6
fúgido,0,21,24.917133372950843,6
funche,0,21,26.46329677717551,6
furgón,6,22,21.386012617576966,6
fusión,76,21,23.011651149808216,6
fustán,0,22,19.83888878884467,6
futbol,0,21,25.56974182588704,6
fútbol,62,21,22.40430270179419,6
fututo,0,23,27.445690995419977,6
gambuj,0,24,26.112981938016606,6
gambux,0,25,25.65822093365268,6
gémino,0,23,28.82125899647644,6
genués,0,21,24.713403324269326,6
gonchu,0,21,27.044953869610367,6
gorgón,0,21,28.30791209714694,6
gorguz,0,23,26.16364433079421,6
gozque,0,22,25.047150840671577,6
grebón,0,21,28.435888662788955,6
grifón,0,21,26.669547940189567,6
guabán,0,22,28.494114398564165,6
güemul,0,23,22.252555629588276,6
guiguí,0,22,18.31013307882084,6
guijón,1,21,20.08715852406764,6
guipuz,0,24,19.664691793772846,6
guitón,0,22,24.740295210483033,6
guzmán,0,26,14.870252651672038,6
jagüey,0,22,27.69348051838913,6
jambón,0,23,27.2669319839369,6
jazmín,10,24,26.212025715366195,6
kermés,0,23,26.040109728499996,6
lígnum,0,23,18.83140348033831,6
lúcumo,0,21,26.024262724124064,6
mágico,44,21,28.33696493850282,6
mágnum,0,27,17.175751682243554,6
majzén,0,24,26.212025715366195,6
malvís,0,21,28.64370051562791,6
mambís,0,25,27.832261859742008,6
mástel,0,21,26.79080153427815,6
mástil,15,21,25.734094469755632,6
máuser,3,22,29.194864129945433,6
máxime,6,25,24.28361335710384,6
máximo,94,25,24.220225339600102,6
mechón,17,22,25.258084073160333,6
médium,1,25,21.915686733536223,6
meguez,0,25,27.79708631214997,6
menjuí,0,23,22.459046898729238,6
mentís,0,23,28.139357596057458,6
méxico,0,21,26.740139141500542,6
mildíu,0,21,23.57133853163098,6
miquis,0,22,27.730096702742614,6
mítulo,0,22,25.70023950586159,6
mocoví,0,21,28.55065939145102,6
módulo,7,21,24.56465757864976,6
mohíno,0,23,29.036754245376454,6
mondón,0,23,28.832303878314214,6
monjío,0,22,28.672513250856877,6
montés,13,23,28.075969578553718,6
monzón,2,25,25.46649619131656,6
moscón,2,21,28.399992796816193,6
mostén,0,23,28.075969578553718,6
muecín,0,22,27.436206803407103,6
mugrón,0,24,23.34623903765464,6
muimuy,0,28,21.09080213454347,6
muncho,0,23,28.360135179749445,6
muquir,0,23,27.504757102639367,6
murgón,0,24,23.34623903765464,6
murtón,0,24,26.85731093143169,6
muslim,0,24,26.703643010210516,6
musmón,0,26,19.603224625284376,6
ningún,413,23,28.46770272460428,6
pássim,0,22,22.25939865420516,6
pehuén,0,22,22.087842826529325,6
pendón,6,21,28.16024682909846,6
pepián,0,21,28.728938190680275,6
pepión,0,21,28.728938190680275,6
pequén,0,21,21.49430048081252,6
pequín,0,21,21.49430048081252,6
pésimo,7,22,27.509079012923713,6
pimpín,0,24,22.303578181556247,6
pimpón,0,24,22.303578181556247,6
pingüe,2,22,28.14920194726069,6
pintón,1,22,28.239121691787766,6
pinzón,5,23,23.737732077578286,6
pipián,0,21,27.67223112615776,6
pipión,0,21,27.67223112615776,6
pistón,1,21,26.347205464815445,6
playón,0,21,28.96496251343094,6
plúmeo,0,22,29.109146242639245,6
plumín,0,23,19.4111397237579,6
plumón,3,23,19.4111397237579,6
plutón,0,21,21.607030307395867,6
pompón,4,24,23.296897228575027,6
pómulo,4,22,22.76890385550413,6
ponqué,0,21,21.43091246330878,6
pontín,0,22,29.232440738806545,6
pontón,2,22,29.232440738806545,6
postín,6,21,27.340524511834225,6
pregón,3,21,28.95103635807027,6
pulgón,1,21,18.095958413618817,6
pulmón,11,23,19.4111397237579,6
punzón,1,24,18.454196754965693,6
puquio,0,21,26.96079667212908,6
pututo,0,23,28.67047234877816,6
pututu,0,24,22.393617979146782,6
puzzle,6,23,21.301615313968775,6
querub,0,21,27.31087140516108,6
quibey,0,22,23.493904305703122,6
quídam,0,22,26.429441813281475,6
quimón,0,23,21.173038483009492,6
quitón,0,21,23.36892906664746,6
quizás,155,21,16.975623225465654,6
quórum,1,23,19.055782655933925,6
rubión,0,21,28.77948053039443,6
rufián,3,21,28.069846872317562,6
rumbón,0,24,23.410827585792923,6
rundún,0,22,28.72593686409393,6
samuhú,0,24,27.07496713547388,6
setuní,0,21,28.224475218046372,6
sinfín,14,21,25.93074138769336,6
súbito,38,21,29.189821901280364,6
suizón,0,22,22.66637853931438,6
súmmum,0,29,16.599016765410312,6
surubí,0,21,21.604028980809517,6
surupí,0,21,22.11917667609083,6
suruví,0,21,20.759815838600662,6
tándem,2,23,28.087374619581855,6
tántum,0,25,22.882714159658573,6
tárgum,0,24,22.53792176141855,6
tayuyá,0,24,24.391541061149027,6
tedéum,0,23,25.16828438169671,6
tenzón,0,23,27.725774792458267,6
testuz,4,23,28.190980413342693,6
timboy,0,25,28.22783670382309,6
tiquín,0,21,23.36892906664746,6
tiznón,0,23,26.669067727935747,6
trufán,0,22,24.897084511354024,6
truhán,2,22,24.764305823173842,6
tumbón,0,25,19.436230814019794,6
túmulo,3,23,25.70023950586159,6
tuntún,3,24,25.886922019532633,6
turbón,0,22,25.60671816943089,6
turquí,0,21,21.251673239571893,6
turubí,0,22,22.687627931545745,6
velmez,0,23,28.58799589418523,6
vérbum,0,24,18.311813821709194,6
vigués,0,21,18.55768249566308,6
viudez,5,22,27.021063309983013,6
vómico,0,21,27.557340344432237,6
vómito,6,23,27.23331712616977,6
vusted,0,21,27.266091612492723,6
whisky,74,26,13.792776407171969,6
yeísmo,0,23,26.371216077506258,6
yemení,0,24,28.326520321982315,6
yérsey,0,22,23.24971637463759,6
yeyuno,0,24,28.498556361911962,6
yóquey,0,23,13.365507554339018,6
yuchán,0,22,15.987826619365759,6
yungir,0,23,28.865198417700622,6
yunque,5,23,22.465169604965396,6
yurumo,0,25,28.254608536973343,6
yusión,0,22,22.041862503226426,6
yusivo,0,22,26.385142232866926,6
yuyuba,0,25,24.110496839603105,6
zaguán,19,23,27.43920812999346,6
zampón,0,25,27.933826751424128,6
zanjón,1,22,29.216233575240253,6
zigzag,4,24,29.178176754125325,6
zóster,0,21,29.00013806102297,6
zuindá,0,22,22.614395562838773,6
zuizón,0,24,19.24858787584112,6
zumbel,1,24,23.09196664925897,6
zumbón,1,26,14.934841199810316,6
zuncho,0,22,26.054636149177934,6
zunzún,1,26,16.88414279111367,6
zurrón,1,22,28.526408672633302,6
zurubí,0,23,18.18623831733626,6
